sbscrptn_ek_id,prdct_nm
1476500,Free Stardial Facilities
1476500,Freetime 20
1476500,My Package
1476500,Super 10
1476500,Super 30
1476500,Super Smart
1476500,Valuetime
1476510,3G SimSim
1476510,Call Conference
1476510,Free Stardial Facilities
1476510,Freetime 20
1476510,My Package
1476510,Super 10
1476510,Super 30
1476510,Super Smart
1476510,Valuetime
1476979,3G SimSim
1476979,Call Conference
1476979,Free Stardial Facilities
1476979,Freetime 20
1476979,My Package
1476979,Super 10
1476979,Super 30
1476979,Super Smart
1476979,Valuetime
1477068,3G SimSim
1477068,Call Conference
1477068,Free Stardial Facilities
1477068,Freetime 20
1477068,My Package
1477068,Super 10
1477068,Super 30
1477068,Super Smart
1477068,Valuetime
1477302,3G SimSim
1477302,Call Conference
1477302,Free Stardial Facilities
1477302,Freetime 20
1477302,My Package
1477302,Super 10
1477302,Super 30
1477302,Super Smart
1477302,Valuetime
1477561,3G SimSim
1477561,Call Conference
1477561,Free Stardial Facilities
1477561,Freetime 20
1477561,My Package
1477561,Super 10
1477561,Super 30
1477561,Super Smart
1477561,Valuetime
1478096,3G SimSim
1478096,Call Conference
1478096,Free Stardial Facilities
1478096,Freetime 20
1478096,My Package
1478096,Super 10
1478096,Super 30
1478096,Super Smart
1478096,Valuetime
1478339,3G SimSim
1478339,Call Conference
1478339,Free Stardial Facilities
1478339,Freetime 20
1478339,My Package
1478339,Super 10
1478339,Super 30
1478339,Super Smart
1478339,Valuetime
1478896,3G SimSim Home
1478896,Free Stardial Facilities
1478896,Freetime 20
1478896,My Package
1478896,Super 10
1478896,Super 30
1478896,Super Smart
1478896,Valuetime
1479257,FreeFridays
1479643,FreeFridays
1480048,3G SimSim
1480048,Call Conference
1480048,Free Stardial Facilities
1480048,Freetime 20
1480048,My Package
1480048,Super 10
1480048,Super 30
1480048,Super Smart
1480048,Valuetime
1480069,3G SimSim Home
1480069,Free Stardial Facilities
1480069,Freetime 20
1480069,My Package
1480069,Super 10
1480069,Super 30
1480069,Super Smart
1480069,Valuetime
1480637,3G SimSim
1480637,Call Conference
1480637,Free Stardial Facilities
1480637,Freetime 20
1480637,My Package
1480637,Super 10
1480637,Super 30
1480637,Super Smart
1480637,Valuetime
1480719,3G SimSim
1480719,Call Conference
1480719,Free Stardial Facilities
1480719,Freetime 20
1480719,My Package
1480719,Super 10
1480719,Super 30
1480719,Super Smart
1480719,Valuetime
1482305,3G SimSim Kids
1482305,Free Stardial Facilities
1482305,Freetime 20
1482305,My Package
1482305,Super 10
1482305,Super 30
1482305,Super Smart
1482305,Valuetime
1482417,3G SimSim
1482417,Call Conference
1482417,Free Stardial Facilities
1482417,Freetime 20
1482417,My Package
1482417,Super 10
1482417,Super 30
1482417,Super Smart
1482417,Valuetime
1482785,3G SimSim
1482785,Call Conference
1482785,Free Stardial Facilities
1482785,Freetime 20
1482785,My Package
1482785,Super 10
1482785,Super 30
1482785,Super Smart
1482785,Valuetime
1483120,3G SimSim
1483120,Call Conference
1483120,Free Stardial Facilities
1483120,Freetime 20
1483120,My Package
1483120,Super 10
1483120,Super 30
1483120,Super Smart
1483120,Valuetime
1483336,3G SimSim
1483336,Call Conference
1483336,Free Stardial Facilities
1483336,Freetime 20
1483336,My Package
1483336,Super 10
1483336,Super 30
1483336,Super Smart
1483336,Valuetime
1484149,3G SimSim
1484149,Call Conference
1484149,Free Stardial Facilities
1484149,Freetime 20
1484149,My Package
1484149,Super 10
1484149,Super 30
1484149,Super Smart
1484149,Valuetime
1484752,3G SimSim Cool
1484752,Free Stardial Facilities
1484752,Freetime 20
1484752,My Package
1484752,Super 10
1484752,Super 30
1484752,Super Smart
1484752,Valuetime
1485412,3G International
1485412,Call Conference
